description,Name,Mean,sd,lower,upper,dist,alpha,beta
AE DISUTILITY Hypothyroid,u_ae_h43,0,0,0,0,beta,0,0
AE COST Fatigue,c_ae_f12,0,0,0,0,gamma,0,0
AE COST Diarrhea,c_ae_d12,8.64,0.6,7.6,9.68,gamma,207.05,0.04
AE COST Rash,c_ae_r12,9.4,0.65,8.27,10.53,gamma,207.6,0.05
AE COST Nausea,c_ae_n12,311.16,21.56,273.82,348.5,gamma,208.32,1.49
AE COST Hypothyroid,c_ae_h12,20,0.8,17.6,17.6,gamma,625,0.03
AE COST Fatigue,c_ae_f34,0,0,0,0,gamma,0,0
AE COST Diarrhea,c_ae_d34,942.52,62.58,834.13,1050.91,gamma,226.84,4.15
AE COST Rash,c_ae_r43,399.26,29.44,353.35,455.17,gamma,183.92,2.17
AE COST Nausea,c_ae_n34,365.22,24.25,323.22,407.22,gamma,226.85,1.61
AE COST Hypothyroid,c_ae_h43,20,0.8,22.4,22.4,gamma,625,0.03
Utility Base state,u_base,0.8,0.03,0.75,0.84,beta,188.05,47.01
Utility Progressive disease,u_pd,0.52,0.05,0.44,0.61,beta,53.31,49.21
EOL cost,c_eol,13273,1532.63,10618.4,15927.6,gamma,75,176.97
BSC£¨dacarbazine£©/3W,c_bsc_drug,152.01,10.13,152.01,182.41,gamma,225,0.68
BSC£¨dacarbazine£©administration/3W,c_bsc_admin,497.93,46,418.26,577.6,gamma,117.18,4.25
BSC percent£¨combin£©,p_bsc_nivipi,0.46,0.05,0.37,0.56,beta,39.66,45.64
BSC percent£¨IPI£©,p_bsc_ipi,0.76,0.09,0.6,0.91,beta,17.58,5.69
